Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-0.38,-0.26,0.01,-0.02,0.89,11342836
-0.59,-0.39,0.01,-0.02,0.89,11346781
-0.72,-0.47,0.01,-0.02,0.89,11350728
-0.81,-0.54,0.01,-0.02,0.89,11354670
-0.88,-0.59,0.01,-0.02,0.89,11358616
-0.93,-0.62,0.01,-0.02,0.89,11362573
-0.97,-0.65,0.01,-0.02,0.89,11366512
-1.01,-0.67,0.01,-0.02,0.89,11370464
-1.04,-0.68,0.01,-0.02,0.89,11374407
-1.07,-0.68,0.01,-0.02,0.89,11378354
-1.09,-0.69,0.01,-0.02,0.89,11382312
-1.11,-0.70,0.01,-0.02,0.89,11386253
-1.12,-0.71,0.01,-0.02,0.89,11390208
-1.14,-0.71,0.01,-0.02,0.89,11394153
-1.16,-0.72,0.01,-0.02,0.89,11398108
-1.17,-0.72,0.01,-0.02,0.89,11402069
-1.18,-0.73,0.01,-0.02,0.89,11406015
-1.18,-0.73,0.01,-0.02,0.89,11409971
-1.19,-0.73,0.01,-0.02,0.89,11413910
-1.19,-0.74,0.01,-0.02,0.89,11417867
-1.19,-0.74,0.01,-0.02,0.89,11421826
-1.20,-0.74,0.01,-0.02,0.89,11425766
-1.20,-0.74,0.01,-0.02,0.89,11429719
-1.20,-0.75,0.01,-0.02,0.89,11433671
-1.21,-0.75,0.01,-0.02,0.89,11437616
-1.21,-0.75,0.01,-0.02,0.89,11441572
-1.21,-0.76,0.01,-0.02,0.89,11445513
-1.21,-0.76,0.01,-0.02,0.89,11449473
-1.22,-0.76,0.01,-0.02,0.89,11453421
-1.22,-0.77,0.01,-0.02,0.89,11457373
-1.22,-0.77,0.01,-0.02,0.89,11461329
-1.23,-0.77,0.01,-0.02,0.89,11465275
-1.23,-0.77,0.01,-0.02,0.89,11469236
-1.23,-0.78,0.01,-0.02,0.89,11473188
-1.23,-0.78,0.01,-0.02,0.89,11477150
-1.23,-0.78,0.01,-0.02,0.89,11481097
-1.23,-0.78,0.01,-0.02,0.89,11485053
-1.24,-0.78,0.01,-0.02,0.89,11489014
-1.24,-0.78,0.01,-0.02,0.89,11492959
-1.24,-0.78,0.01,-0.02,0.89,11496915
-1.24,-0.78,0.01,-0.02,0.89,11500857
-1.25,-0.78,0.01,-0.02,0.89,11504807
-1.25,-0.78,0.01,-0.02,0.89,11508765
-1.25,-0.78,0.01,-0.02,0.89,11512710
-1.25,-0.78,0.01,-0.02,0.89,11516661
-1.25,-0.78,0.01,-0.02,0.89,11520612
-1.25,-0.78,0.01,-0.02,0.89,11524562
-1.25,-0.79,0.01,-0.02,0.89,11528521
-1.25,-0.79,0.01,-0.02,0.89,11532463
-1.26,-0.79,0.01,-0.02,0.89,11536423
-1.26,-0.79,0.01,-0.02,0.89,11540369
-1.26,-0.79,0.01,-0.02,0.89,11544320
-1.26,-0.79,0.01,-0.02,0.89,11548277
-1.26,-0.79,0.01,-0.02,0.89,11552218
-1.26,-0.79,0.01,-0.02,0.89,11556177
-1.26,-0.79,0.01,-0.02,0.89,11560123
-1.26,-0.79,0.01,-0.02,0.89,11564080
-1.26,-0.79,0.01,-0.02,0.89,11568028
