Roll Angle, Pitch Angle, AccX, AccY, AccZ 
-0.52,25.66,-0.96,-0.03,-0.11
-0.79,39.25,-0.96,-0.03,-0.11
-0.95,47.67,-0.96,-0.03,-0.11
-1.06,53.40,-0.96,-0.03,-0.11
-1.13,57.55,-0.96,-0.03,-0.11
-1.19,60.69,-0.96,-0.03,-0.11
-1.24,63.15,-0.96,-0.03,-0.11
-1.28,65.13,-0.96,-0.03,-0.11
-1.31,66.76,-0.96,-0.03,-0.11
-1.34,68.12,-0.96,-0.03,-0.11
-1.37,69.28,-0.96,-0.03,-0.11
-1.39,70.27,-0.96,-0.03,-0.11
-1.41,71.14,-0.96,-0.03,-0.11
-1.43,71.90,-0.96,-0.03,-0.11
-1.45,72.56,-0.96,-0.03,-0.11
-1.47,73.16,-0.96,-0.03,-0.11
-1.49,73.69,-0.96,-0.03,-0.11
-1.50,74.17,-0.96,-0.03,-0.11
-1.51,74.61,-0.96,-0.03,-0.11
-1.52,75.00,-0.96,-0.03,-0.11
-1.53,75.37,-0.96,-0.03,-0.11
-1.53,75.70,-0.96,-0.03,-0.11
-1.54,76.01,-0.96,-0.03,-0.11
-1.54,76.29,-0.96,-0.03,-0.11
-1.55,76.56,-0.96,-0.03,-0.11
-1.55,76.80,-0.96,-0.03,-0.11
-1.55,77.03,-0.96,-0.03,-0.11
-1.56,77.24,-0.96,-0.03,-0.11
-1.56,77.44,-0.96,-0.03,-0.11
-1.56,77.63,-0.96,-0.03,-0.11
-1.57,77.81,-0.96,-0.03,-0.11
-1.57,77.97,-0.96,-0.03,-0.11
-1.58,78.13,-0.96,-0.03,-0.11
-1.58,78.28,-0.96,-0.03,-0.11
-1.59,78.42,-0.96,-0.03,-0.11
-1.59,78.55,-0.96,-0.03,-0.11
-1.60,78.68,-0.96,-0.03,-0.11
-1.60,78.80,-0.96,-0.03,-0.11
-1.61,78.91,-0.96,-0.03,-0.11
-1.61,79.02,-0.96,-0.03,-0.11
-1.62,79.12,-0.96,-0.03,-0.11
-1.62,79.22,-0.96,-0.03,-0.11
-1.62,79.32,-0.96,-0.03,-0.11
-1.63,79.41,-0.96,-0.03,-0.11
-1.63,79.50,-0.96,-0.03,-0.11
-1.63,79.58,-0.96,-0.03,-0.11
-1.63,79.66,-0.96,-0.03,-0.11
-1.63,79.73,-0.96,-0.03,-0.11
-1.63,79.80,-0.96,-0.03,-0.11
-1.63,79.88,-0.96,-0.03,-0.11
-1.63,79.94,-0.96,-0.03,-0.11
-1.63,80.01,-0.96,-0.03,-0.11
-1.63,80.07,-0.96,-0.03,-0.11
-1.63,80.13,-0.96,-0.03,-0.11
-1.63,80.19,-0.96,-0.03,-0.11
-1.63,80.25,-0.96,-0.03,-0.11
-1.63,80.30,-0.96,-0.03,-0.11
-1.63,80.36,-0.96,-0.03,-0.11
-1.63,80.41,-0.96,-0.03,-0.11
-1.64,80.46,-0.96,-0.03,-0.11
-1.64,80.51,-0.96,-0.03,-0.11
-1.64,80.56,-0.96,-0.03,-0.11
-1.64,80.60,-0.96,-0.03,-0.11
-1.64,80.65,-0.96,-0.03,-0.11
-1.64,80.69,-0.96,-0.03,-0.11
-1.64,80.73,-0.96,-0.03,-0.11
-1.64,80.77,-0.96,-0.03,-0.11
-1.64,80.81,-0.96,-0.03,-0.11
-1.64,80.85,-0.96,-0.03,-0.11
-1.64,80.89,-0.96,-0.03,-0.11
-1.64,80.93,-0.96,-0.03,-0.11
-1.64,80.97,-0.96,-0.03,-0.11
-1.64,81.00,-0.96,-0.03,-0.11
-1.63,81.04,-0.96,-0.03,-0.11
-1.63,81.07,-0.96,-0.03,-0.11
-1.63,81.10,-0.96,-0.03,-0.11
-1.63,81.13,-0.96,-0.03,-0.10
-1.63,81.16,-0.96,-0.03,-0.11
-1.63,81.19,-0.96,-0.03,-0.11
-1.63,81.22,-0.96,-0.03,-0.11
-1.63,81.25,-0.96,-0.03,-0.11
-1.63,81.28,-0.96,-0.03,-0.11
-1.63,81.30,-0.96,-0.03,-0.11
-1.63,81.33,-0.96,-0.03,-0.11
-1.63,81.35,-0.96,-0.03,-0.11
-1.63,81.38,-0.96,-0.03,-0.10
-1.64,81.40,-0.96,-0.03,-0.10
-1.64,81.43,-0.96,-0.03,-0.10
-1.64,81.45,-0.96,-0.03,-0.10
-1.64,81.48,-0.96,-0.03,-0.11
-1.64,81.50,-0.96,-0.03,-0.11
-1.64,81.52,-0.96,-0.03,-0.11
-1.64,81.54,-0.96,-0.03,-0.11
-1.64,81.57,-0.96,-0.03,-0.11
-1.64,81.59,-0.96,-0.03,-0.11
-1.64,81.61,-0.96,-0.03,-0.11
-1.64,81.63,-0.96,-0.03,-0.11
-1.64,81.65,-0.96,-0.03,-0.11
-1.64,81.66,-0.96,-0.03,-0.11
-1.64,81.68,-0.96,-0.03,-0.11
-1.64,81.70,-0.96,-0.03,-0.11
-1.64,81.72,-0.96,-0.03,-0.11
-1.64,81.74,-0.96,-0.03,-0.11
-1.64,81.75,-0.96,-0.03,-0.11
-1.64,81.77,-0.96,-0.03,-0.11
-1.64,81.79,-0.96,-0.03,-0.11
-1.64,81.80,-0.96,-0.03,-0.11
-1.64,81.82,-0.96,-0.03,-0.11
-1.64,81.84,-0.96,-0.03,-0.11
-1.64,81.85,-0.96,-0.03,-0.11
-1.64,81.87,-0.96,-0.03,-0.11
-1.64,81.88,-0.96,-0.03,-0.11
-1.64,81.90,-0.96,-0.03,-0.11
-1.66,81.90,-0.95,-0.06,-0.11
-1.66,81.92,-0.95,-0.04,-0.11
-1.66,81.94,-0.96,-0.02,-0.11
-1.65,81.97,-0.96,-0.02,-0.11
-1.65,81.99,-0.96,-0.03,-0.11
-1.65,82.01,-0.96,-0.03,-0.11
-1.65,82.03,-0.96,-0.03,-0.11
-1.64,82.05,-0.96,-0.03,-0.11
-1.64,82.07,-0.96,-0.03,-0.11
-1.64,82.08,-0.96,-0.03,-0.11
-1.64,82.10,-0.96,-0.03,-0.11
-1.64,82.12,-0.96,-0.03,-0.11
-1.64,82.13,-0.96,-0.03,-0.11
-1.64,82.15,-0.96,-0.03,-0.11
-1.64,82.16,-0.96,-0.03,-0.11
-1.64,82.17,-0.96,-0.03,-0.11
-1.65,82.19,-0.96,-0.03,-0.11
-1.65,82.20,-0.96,-0.03,-0.11
-1.65,82.21,-0.96,-0.03,-0.11
-1.65,82.22,-0.96,-0.03,-0.11
-1.65,82.23,-0.96,-0.03,-0.11
-1.65,82.24,-0.96,-0.03,-0.11
-1.64,82.25,-0.96,-0.03,-0.11
-1.65,82.26,-0.96,-0.03,-0.11
-1.65,82.27,-0.96,-0.03,-0.11
-1.65,82.28,-0.96,-0.03,-0.11
-1.65,82.29,-0.96,-0.03,-0.11
-1.65,82.30,-0.96,-0.03,-0.11
-1.65,82.30,-0.96,-0.03,-0.11
-1.66,82.31,-0.96,-0.03,-0.11
-1.66,82.32,-0.96,-0.03,-0.11
-1.66,82.33,-0.96,-0.03,-0.11
-1.67,82.34,-0.96,-0.03,-0.11
-1.67,82.34,-0.96,-0.03,-0.11
-1.67,82.35,-0.96,-0.03,-0.11
-1.67,82.36,-0.96,-0.03,-0.11
-1.68,82.37,-0.96,-0.03,-0.11
-1.68,82.37,-0.96,-0.03,-0.11
-1.68,82.38,-0.96,-0.03,-0.11
-1.68,82.39,-0.96,-0.03,-0.11
-1.69,82.39,-0.96,-0.03,-0.11
-1.69,82.40,-0.96,-0.03,-0.11
-1.69,82.41,-0.96,-0.03,-0.11
-1.69,82.41,-0.96,-0.03,-0.11
-1.69,82.42,-0.96,-0.03,-0.11
-1.70,82.43,-0.96,-0.03,-0.11
-1.70,82.43,-0.96,-0.03,-0.11
-1.70,82.44,-0.96,-0.03,-0.11
-1.70,82.44,-0.96,-0.03,-0.11
-1.70,82.45,-0.96,-0.03,-0.11
-1.71,82.46,-0.96,-0.03,-0.11
-1.71,82.46,-0.96,-0.03,-0.11
-1.71,82.47,-0.96,-0.03,-0.11
-1.71,82.48,-0.96,-0.03,-0.11
-1.71,82.48,-0.96,-0.03,-0.11
-1.72,82.49,-0.96,-0.03,-0.11
-1.72,82.50,-0.96,-0.03,-0.11
-1.72,82.50,-0.96,-0.03,-0.11
-1.72,82.51,-0.96,-0.03,-0.11
-1.72,82.51,-0.96,-0.03,-0.11
-1.72,82.52,-0.96,-0.03,-0.11
-1.72,82.53,-0.96,-0.03,-0.11
-1.73,82.53,-0.96,-0.03,-0.11
-1.73,82.54,-0.96,-0.03,-0.11
-1.73,82.55,-0.96,-0.03,-0.11
-1.73,82.55,-0.96,-0.03,-0.11
-1.73,82.56,-0.96,-0.03,-0.11
-1.73,82.56,-0.96,-0.03,-0.11
-1.73,82.57,-0.96,-0.03,-0.11
-1.73,82.57,-0.96,-0.03,-0.11
-1.73,82.58,-0.96,-0.03,-0.11
-1.74,82.58,-0.96,-0.03,-0.11
-1.74,82.59,-0.96,-0.03,-0.11
-1.74,82.59,-0.96,-0.03,-0.11
-1.74,82.60,-0.96,-0.03,-0.11
-1.74,82.60,-0.96,-0.03,-0.11
-1.74,82.61,-0.96,-0.03,-0.11
-1.74,82.61,-0.96,-0.03,-0.11
-1.74,82.62,-0.96,-0.03,-0.11
-1.74,82.62,-0.96,-0.03,-0.11
-1.74,82.63,-0.96,-0.03,-0.11
-1.74,82.63,-0.96,-0.03,-0.11
-1.75,82.63,-0.96,-0.03,-0.11
-1.75,82.64,-0.96,-0.03,-0.11
-1.75,82.64,-0.96,-0.03,-0.11
-1.75,82.65,-0.96,-0.03,-0.11
-1.75,82.65,-0.96,-0.03,-0.11
-1.75,82.65,-0.96,-0.03,-0.11
-1.75,82.66,-0.96,-0.03,-0.11
-1.75,82.66,-0.96,-0.03,-0.11
-1.75,82.66,-0.96,-0.03,-0.11
-1.75,82.67,-0.96,-0.03,-0.11
-1.75,82.67,-0.96,-0.03,-0.11
-1.76,82.67,-0.96,-0.03,-0.11
-1.76,82.68,-0.96,-0.03,-0.11
-1.76,82.68,-0.96,-0.03,-0.11
-1.76,82.68,-0.96,-0.03,-0.11
-1.76,82.69,-0.96,-0.03,-0.11
-1.76,82.69,-0.96,-0.03,-0.11
-1.76,82.69,-0.96,-0.03,-0.11
-1.76,82.70,-0.96,-0.03,-0.11
-1.76,82.70,-0.96,-0.03,-0.11
-1.77,82.70,-0.96,-0.03,-0.11
-1.77,82.71,-0.96,-0.03,-0.11
-1.77,82.71,-0.96,-0.03,-0.11
-1.77,82.71,-0.96,-0.03,-0.11
-1.77,82.71,-0.96,-0.03,-0.11
-1.77,82.72,-0.96,-0.03,-0.11
-1.77,82.72,-0.96,-0.03,-0.11
-1.77,82.72,-0.96,-0.03,-0.11
-1.78,82.73,-0.96,-0.03,-0.11
-1.78,82.73,-0.96,-0.03,-0.11
-1.78,82.73,-0.96,-0.03,-0.11
-1.78,82.74,-0.96,-0.03,-0.11
-1.78,82.74,-0.96,-0.03,-0.11
-1.78,82.74,-0.96,-0.03,-0.11
-1.78,82.74,-0.96,-0.03,-0.11
-1.79,82.75,-0.96,-0.03,-0.11
-1.79,82.75,-0.96,-0.03,-0.11
-1.79,82.75,-0.96,-0.03,-0.11
-1.79,82.76,-0.96,-0.03,-0.11
-1.79,82.76,-0.96,-0.03,-0.11
-1.79,82.76,-0.96,-0.03,-0.11
-1.80,82.76,-0.96,-0.03,-0.11
-1.80,82.77,-0.96,-0.03,-0.11
-1.80,82.77,-0.96,-0.03,-0.11
-1.80,82.77,-0.96,-0.03,-0.11
-1.80,82.77,-0.96,-0.03,-0.11
-1.80,82.78,-0.96,-0.03,-0.11
-1.80,82.78,-0.96,-0.03,-0.11
-1.81,82.78,-0.96,-0.03,-0.11
-1.81,82.78,-0.96,-0.03,-0.11
-1.81,82.79,-0.96,-0.03,-0.11
-1.81,82.79,-0.96,-0.03,-0.11
-1.81,82.79,-0.96,-0.03,-0.11
-1.81,82.80,-0.96,-0.03,-0.11
-1.81,82.80,-0.96,-0.03,-0.11
-1.81,82.80,-0.96,-0.03,-0.11
-1.81,82.80,-0.96,-0.03,-0.11
-1.81,82.81,-0.96,-0.03,-0.11
-1.82,82.81,-0.96,-0.03,-0.11
-1.82,82.81,-0.96,-0.03,-0.11
-1.82,82.81,-0.96,-0.03,-0.11
-1.82,82.82,-0.96,-0.03,-0.11
-1.82,82.82,-0.96,-0.03,-0.11
-1.82,82.82,-0.96,-0.03,-0.11
-1.82,82.83,-0.96,-0.03,-0.11
-1.83,82.83,-0.96,-0.04,-0.11
-1.83,82.83,-0.96,-0.03,-0.11
-1.83,82.83,-0.96,-0.03,-0.11
-1.83,82.83,-0.96,-0.03,-0.11
-1.83,82.84,-0.96,-0.03,-0.11
-1.83,82.84,-0.96,-0.03,-0.11
-1.83,82.84,-0.96,-0.03,-0.11
-1.83,82.84,-0.96,-0.03,-0.11
-1.83,82.85,-0.96,-0.03,-0.11
-1.84,82.85,-0.96,-0.03,-0.11
-1.84,82.85,-0.96,-0.03,-0.11
-1.84,82.85,-0.96,-0.03,-0.11
-1.84,82.86,-0.96,-0.03,-0.11
-1.84,82.86,-0.96,-0.03,-0.11
-1.84,82.86,-0.96,-0.03,-0.11
-1.84,82.86,-0.96,-0.03,-0.11
-1.84,82.86,-0.96,-0.03,-0.11
-1.84,82.87,-0.96,-0.03,-0.11
-1.84,82.87,-0.96,-0.03,-0.11
-1.84,82.87,-0.96,-0.03,-0.11
-1.84,82.87,-0.96,-0.03,-0.11
-1.85,82.87,-0.96,-0.03,-0.11
-1.85,82.88,-0.96,-0.03,-0.11
-1.85,82.88,-0.96,-0.03,-0.11
-1.85,82.88,-0.96,-0.03,-0.11
-1.85,82.88,-0.96,-0.03,-0.11
-1.85,82.89,-0.96,-0.03,-0.11
-1.85,82.89,-0.96,-0.03,-0.11
-1.85,82.89,-0.96,-0.03,-0.11
-1.85,82.89,-0.96,-0.03,-0.11
-1.85,82.89,-0.96,-0.03,-0.11
-1.85,82.90,-0.96,-0.03,-0.11
-1.85,82.90,-0.96,-0.03,-0.11
-1.85,82.90,-0.96,-0.03,-0.11
-1.85,82.90,-0.96,-0.03,-0.11
-1.85,82.90,-0.96,-0.03,-0.11
-1.85,82.90,-0.96,-0.03,-0.11
-1.85,82.91,-0.96,-0.03,-0.11
-1.85,82.91,-0.96,-0.03,-0.11
-1.85,82.91,-0.96,-0.03,-0.11
-1.86,82.91,-0.96,-0.03,-0.11
-1.86,82.91,-0.96,-0.03,-0.11
-1.86,82.91,-0.96,-0.03,-0.11
-1.86,82.91,-0.96,-0.03,-0.11
-1.86,82.92,-0.96,-0.03,-0.11
-1.86,82.92,-0.96,-0.03,-0.11
-1.86,82.92,-0.96,-0.03,-0.11
-1.86,82.92,-0.96,-0.03,-0.11
-1.86,82.92,-0.96,-0.03,-0.11
-1.86,82.92,-0.96,-0.03,-0.11
-1.86,82.93,-0.96,-0.03,-0.11
-1.86,82.93,-0.96,-0.03,-0.11
-1.86,82.93,-0.96,-0.03,-0.11
-1.86,82.93,-0.96,-0.03,-0.11
-1.86,82.93,-0.96,-0.03,-0.11
