Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-0.42,-0.28,0.01,-0.02,0.89,9454267
-0.64,-0.43,0.01,-0.02,0.89,9458210
-0.78,-0.54,0.02,-0.02,0.89,9462164
-0.87,-0.61,0.02,-0.02,0.89,9466107
-0.94,-0.67,0.02,-0.02,0.89,9470053
-1.00,-0.70,0.02,-0.02,0.89,9473998
-1.04,-0.73,0.02,-0.02,0.89,9477946
-1.07,-0.76,0.02,-0.02,0.89,9481903
-1.09,-0.78,0.01,-0.02,0.89,9485847
-1.12,-0.79,0.01,-0.02,0.89,9489808
-1.13,-0.79,0.01,-0.02,0.89,9493760
-1.15,-0.79,0.01,-0.02,0.89,9497711
-1.16,-0.79,0.01,-0.02,0.89,9501664
-1.18,-0.79,0.01,-0.02,0.89,9505612
-1.19,-0.79,0.01,-0.02,0.89,9509569
-1.20,-0.79,0.01,-0.02,0.89,9513512
-1.21,-0.79,0.01,-0.02,0.89,9517468
-1.22,-0.79,0.01,-0.02,0.89,9521419
-1.23,-0.80,0.01,-0.02,0.89,9525362
-1.24,-0.80,0.01,-0.02,0.89,9529321
-1.24,-0.80,0.01,-0.02,0.89,9533264
-1.24,-0.80,0.01,-0.02,0.89,9537224
-1.25,-0.81,0.01,-0.02,0.89,9541169
-1.25,-0.81,0.01,-0.02,0.89,9545127
-1.25,-0.82,0.01,-0.02,0.89,9549090
-1.25,-0.82,0.01,-0.02,0.89,9553036
-1.25,-0.83,0.01,-0.02,0.89,9556985
-1.25,-0.83,0.01,-0.02,0.89,9560926
-1.26,-0.83,0.01,-0.02,0.89,9564882
-1.26,-0.83,0.01,-0.02,0.89,9568829
-1.26,-0.83,0.01,-0.02,0.89,9572790
-1.26,-0.83,0.01,-0.02,0.89,9576745
-1.26,-0.84,0.01,-0.02,0.89,9580694
-1.26,-0.84,0.01,-0.02,0.89,9584650
-1.26,-0.84,0.01,-0.02,0.89,9588594
-1.26,-0.84,0.01,-0.02,0.89,9592548
-1.26,-0.84,0.01,-0.02,0.89,9596496
-1.26,-0.84,0.01,-0.02,0.89,9600435
-1.27,-0.84,0.01,-0.02,0.89,9604393
-1.27,-0.84,0.01,-0.02,0.89,9608343
-1.27,-0.84,0.01,-0.02,0.89,9612298
-1.27,-0.84,0.01,-0.02,0.89,9616246
-1.27,-0.84,0.01,-0.02,0.89,9620193
-1.27,-0.84,0.01,-0.02,0.89,9624155
-1.27,-0.84,0.01,-0.02,0.89,9628101
-1.28,-0.84,0.01,-0.02,0.89,9632063
-1.28,-0.84,0.01,-0.02,0.89,9636006
-1.28,-0.84,0.01,-0.02,0.89,9639959
-1.28,-0.84,0.01,-0.02,0.89,9643904
-1.28,-0.85,0.01,-0.02,0.89,9647849
-1.28,-0.85,0.01,-0.02,0.89,9651802
-1.28,-0.85,0.01,-0.02,0.89,9655750
-1.28,-0.85,0.01,-0.02,0.89,9659710
-1.28,-0.85,0.01,-0.02,0.89,9663659
-1.28,-0.85,0.01,-0.02,0.89,9667617
-1.28,-0.85,0.01,-0.02,0.89,9671566
-1.29,-0.85,0.01,-0.02,0.89,9675517
-1.29,-0.85,0.01,-0.02,0.89,9679476
-1.29,-0.85,0.01,-0.02,0.89,9683425
-1.29,-0.85,0.01,-0.02,0.89,9687389
-1.29,-0.85,0.01,-0.02,0.89,9691334
-1.30,-0.85,0.01,-0.02,0.89,9695285
-1.30,-0.85,0.01,-0.02,0.89,9699230
-1.30,-0.85,0.01,-0.02,0.90,9703167
-1.30,-0.85,0.01,-0.02,0.89,9707122
-1.30,-0.85,0.01,-0.02,0.89,9711064
-1.30,-0.85,0.01,-0.02,0.90,9715014
-1.30,-0.85,0.01,-0.02,0.89,9718952
-1.30,-0.85,0.01,-0.02,0.89,9722898
-1.31,-0.85,0.01,-0.02,0.89,9726857
-1.31,-0.85,0.01,-0.02,0.89,9730803
-1.31,-0.85,0.01,-0.02,0.89,9734757
-1.31,-0.85,0.01,-0.02,0.89,9738700
-1.31,-0.85,0.01,-0.02,0.89,9742659
-1.31,-0.85,0.01,-0.02,0.89,9746607
-1.31,-0.85,0.01,-0.02,0.89,9750558
-1.31,-0.85,0.01,-0.02,0.89,9754509
-1.31,-0.85,0.01,-0.02,0.89,9758458
-1.31,-0.85,0.01,-0.02,0.89,9762418
-1.31,-0.85,0.01,-0.02,0.89,9766366
-1.31,-0.85,0.01,-0.02,0.89,9770321
-1.31,-0.85,0.01,-0.02,0.89,9774277
-1.32,-0.85,0.01,-0.02,0.89,9778230
-1.32,-0.85,0.01,-0.02,0.89,9782188
-1.32,-0.85,0.01,-0.02,0.89,9786134
-1.32,-0.85,0.01,-0.02,0.89,9790086
-1.32,-0.85,0.01,-0.02,0.89,9794027
-1.32,-0.85,0.01,-0.02,0.89,9797977
-1.32,-0.85,0.01,-0.02,0.89,9801938
-1.32,-0.85,0.01,-0.02,0.89,9805878
-1.32,-0.85,0.01,-0.02,0.89,9809834
-1.32,-0.85,0.01,-0.02,0.89,9813777
-1.32,-0.85,0.01,-0.02,0.89,9817735
-1.32,-0.85,0.01,-0.02,0.89,9821681
-1.32,-0.85,0.01,-0.02,0.89,9825634
-1.32,-0.85,0.01,-0.02,0.89,9829592
-1.32,-0.85,0.01,-0.02,0.89,9833542
-1.32,-0.85,0.01,-0.02,0.89,9837497
-1.32,-0.85,0.01,-0.02,0.89,9841444
-1.32,-0.85,0.01,-0.02,0.89,9845395
-1.32,-0.85,0.01,-0.02,0.89,9849353
-1.32,-0.85,0.01,-0.02,0.89,9853305
-1.32,-0.85,0.01,-0.02,0.89,9857266
-1.32,-0.85,0.01,-0.02,0.89,9861219
-1.32,-0.85,0.01,-0.02,0.89,9865177
-1.32,-0.85,0.01,-0.02,0.89,9869129
-1.32,-0.85,0.01,-0.02,0.89,9873089
-1.32,-0.85,0.01,-0.02,0.89,9877053
-1.32,-0.85,0.01,-0.02,0.89,9880996
-1.32,-0.85,0.01,-0.02,0.89,9884953
-1.32,-0.85,0.01,-0.02,0.89,9888898
-1.32,-0.85,0.01,-0.02,0.90,9892853
-1.32,-0.85,0.01,-0.02,0.89,9896791
